inscricao,nota_final_fase_2
 10012906, 87.17 
 10013957, 87.17 
 10000212, 87.17 
 10025276, 87.17 
 10014917, 87.17 
 10017409, 87.17 
 10024203, 87.17 
 10030365, 87.17 
 10017003, 87.17 
 10023285, 87.17 
 10023017, 87.17 
 10004683, 87.17 
 10004429, 87.17 
 10024579, 87.17 
 10015764, 87.17 
 10012374, 87.17 
 10002481, 87.17 
 10016717, 87.17 
 10000800, 87.17 
 10017981, 87.17 
 10030604, 87.17 
 10029686, 87.00 
 10022808, 87.00 
 10003391, 87.00 
 10007269, 87.00 
 10001711, 87.00 
 10019980, 87.00 
 10003687, 87.00 
 10028436, 87.00 
 10021417, 86.83 
 10011462, 86.67 
 10014706, 86.67 
 10030473, 86.67 
 10023632, 86.67 
 10016664, 86.67 
 10009504, 86.67 
 10020953, 86.67 
 10029959, 86.67 
 10004437, 86.67 
 10032137, 86.67 
 10000903, 86.67 
 10027865, 86.67 
 10001123, 86.67 
 10004939, 86.67 
 10002519, 86.67 
 10013285, 86.67 
 10024484, 86.67 
 10018922, 86.67 
 10002596, 86.67 
 10002396, 86.67 
 10014133, 86.67 
 10017929, 86.67 
 10000260, 86.67 
 10025811, 86.67 
 10028437, 86.67 
 10000392, 86.67 
 10017516, 86.67 
 10005702, 86.67 
 10025362, 86.67 
 10024226, 86.67 
 10016245, 86.67 
 10028586, 86.67 
 10008643, 86.67 
 10004998, 86.67 
 10032150, 86.67 
 10023762, 86.67 
 10019223, 86.67 
 10000410, 86.67 
 10013270, 86.67 
 10008073, 86.67 
 10010051, 86.67 
 10029775, 86.67 
 10030038, 86.67 
 10007066, 86.67 
 10016734, 86.67 
 10019655, 86.67 
 10010426, 86.00 
 10020807, 85.67 
 10016966, 85.67 
 10014918, 85.50 
 10005293, 85.50 
 10018310, 85.50 
 10000768, 85.17 
 10029621, 85.00 
 10021742, 85.00 
 10004588, 85.00 
 10004455, 85.00 
 10015425, 85.00 
 10000690, 85.00 
 10007958, 85.00 
 10020031, 85.00 
 10005217, 85.00 
 10006172, 85.00 
 10019364, 85.00 
 10016157, 85.00 
 10000190, 85.00 
 10011199, 85.00 
 10007479, 85.00 
 10024804, 85.00 
 10009087, 85.00 
 10001771, 85.00 
 10023373, 85.00 
 10022352, 84.83 
 10020025, 84.67 
 10018614, 84.67 
 10015712, 84.67 
 10012633, 84.67 
 10010373, 84.67 
 10010031, 84.67 
 10009726, 84.50 
 10025128, 84.50 
 10025810, 84.50 
 10020290, 84.50 
 10008137, 84.50 
 10016861, 84.50 
 10000470, 84.50 
 10018809, 84.50 
 10028430, 84.50 
 10029973, 84.50 
 10006894, 84.50 
 10011484, 84.50 
 10001690, 84.17 
 10003712, 84.17 
 10001279, 84.00 
 10023781, 84.00 
 10001032, 84.00 
 10012632, 84.00 
 10020843, 83.50 
 10008005, 83.50 
 10024233, 83.50 
 10013222, 83.50 
 10003936, 83.00 
 10023356, 83.00 
 10015724, 83.00 
 10018636, 83.00 
 10016643, 83.00 
 10030954, 83.00 
 10017936, 83.00 
 10010563, 83.00 
 10028479, 83.00 
 10010340, 83.00 
 10002204, 83.00 
 10031550, 83.00 
 10010361, 83.00 
 10003278, 83.00 
 10027862, 83.00 
 10003243, 83.00 
 10029413, 83.00 
 10023560, 82.67 
 10006922, 82.67 
 10008337, 82.67 
 10004036, 82.67 
 10014874, 82.67 
 10019316, 82.50.
 10024344, 82.50 
 10025076, 82.50 
 10010840, 82.50 
 10022044, 82.50 
 10024354, 82.50 
 10031998, 82.50 
 10007337, 82.50 
 10014122, 82.50 
 10023078, 82.50 
 10025144, 82.50 
 10022794, 82.50 
 10002912, 82.50 
 10024646, 82.50 
 10031989, 82.50 
 10022427, 82.50 
 10027741, 82.50 
 10017447, 82.50 
 10012686, 82.50 
 10026533, 82.50 
 10006426, 82.50 
 10024408, 82.50 
 10020253, 82.50 
 10008155, 82.50 
 10026024, 82.50 
 10028231, 82.50 
 10022748, 82.17 
 10025507, 82.17 
 10000990, 82.17 
 10011165, 82.17 
 10009083, 82.17 
 10019757, 82.17 
 10011241, 82.17 
 10022051, 82.17 
 10012355, 82.17 
 10028209, 82.17 
 10024388, 82.17 
 10015454, 82.17 
 10014993, 82.17 
 10003989, 82.17 
 10021914, 82.17 
 10017747, 82.17 
 10008655, 82.17 
 10010796, 82.17 
 10031046, 82.17 
 10018055, 82.17 
 10004753, 82.17 
 10014398, 82.17 
 10023551, 82.17 
 10001193, 82.00 
 10027471, 82.00 
 10009466, 81.83 
 10005342, 81.83 
 10002891, 81.83 
 10016853, 81.83 
 10023185, 81.83 
 10021641, 81.83 
 10019741, 81.83 
 10007859, 81.67 
 10001940, 81.67 
 10027717, 81.67 
 10011236, 81.67 
 10032182, 81.67 
 10014489, 81.67 
 10021453, 81.67 
 10017496, 81.67 
 10030476, 81.50 
 10022856, 81.33 
 10026657, 81.33 
 10013374, 81.33 
 10000840, 81.17 
 10011497, 80.67 
 10021102, 80.67 
 10020066, 80.50 
 10019883, 80.50 
 10032519, 80.50 
 10011706, 80.50 
 10027080, 80.50 
 10025435, 80.50 
 10021996, 80.17 
 10026545, 80.00 
 10001296, 80.00 
 10022918, 80.00 
 10024025, 80.00 
 10030140, 8.00 
 10014173, 8.00 
 10005096, 8.00 
 10021377, 8.00 
 10013231, 79.67 
 10024366, 79.67 
 10021262, 79.67 
 10010528, 79.67 
 10019996, 79.67 
 10003852, 79.67 
 10012912, 79.50 
 10030506, 79.50 
 10019984, 79.50 
 10023415, 79.50 
 10008935, 79.33 
 10029729, 79.33 
 10017094, 79.17 
 10017775, 79.17 
 10007831, 79.17 
 10006194, 79.17 
 10024105, 79.17 
 10024325, 79.17 
 10018881, 79.17 
 10023173, 79.17 
 10021830, 79.17 
 10010738, 79.17 
 10022619, 79.17 
 10022077, 79.17 
 10003102, 79.17 
 10019001, 79.00 
 10021362, 79.00 
 10016694, 79.00 
 10028922, 79.00 
 10023900, 79.00 
 10020758, 78.67 
 10008974, 78.67 
 10026359, 78.50 
 10017982, 78.50 
 10020820, 78.17 
 10025185, 78.00 
 10004298, 78.00 
 10028082, 78.00 
 10031405, 78.00 
 10011194, 77.67 
 10014343, 77.67 
 10019702, 77.67 
 10031419, 77.67 
